date_1,action,server_port,message,ssh,perform,ip,date_2
"2020-10-02 12:35:17,870",filter,519,INFO,sshd,Found,128.199.128.215,10/2/2020 12:35
"2020-10-02 12:35:19,704",filter,519,INFO,sshd,Found,128.199.128.215,10/2/2020 12:35
"2020-10-02 12:38:40,119",filter,519,INFO,sshd,Found,139.180.152.207,10/2/2020 12:38
"2020-10-02 12:38:40,124",filter,519,INFO,sshd,Found,139.180.152.207,10/2/2020 12:38
"2020-10-02 12:38:40,319",actions,519,NOTICE,sshd,Ban,139.180.152.207,
"2020-10-02 12:38:42,831",filter,519,INFO,sshd,Found,139.180.152.207,10/2/2020 12:38
"2020-10-02 12:39:33,629",filter,519,INFO,sshd,Found,111.229.1.180,10/2/2020 12:39
"2020-10-02 12:39:33,634",filter,519,INFO,sshd,Found,111.229.1.180,10/2/2020 12:39
"2020-10-02 12:39:34,426",actions,519,NOTICE,sshd,Ban,111.229.1.180,
"2020-10-02 12:39:35,400",filter,519,INFO,sshd,Found,111.229.1.180,10/2/2020 12:39
"2020-10-02 12:40:21,864",filter,519,INFO,sshd,Found,145.239.80.14,10/2/2020 12:40
"2020-10-02 12:40:21,865",filter,519,INFO,sshd,Found,145.239.80.14,10/2/2020 12:40
"2020-10-02 12:40:22,524",actions,519,NOTICE,sshd,Ban,145.239.80.14,
"2020-10-02 12:40:23,655",filter,519,INFO,sshd,Found,145.239.80.14,10/2/2020 12:40
"2020-10-02 12:41:49,685",filter,519,INFO,sshd,Found,148.70.68.36,10/2/2020 12:41
"2020-10-02 12:41:49,896",actions,519,NOTICE,sshd,Ban,148.70.68.36,
"2020-10-02 12:41:51,457",filter,519,INFO,sshd,Found,148.70.68.36,10/2/2020 12:41
"2020-10-02 12:43:33,052",filter,519,INFO,sshd,Found,104.131.231.109,10/2/2020 12:43
"2020-10-02 12:43:33,053",filter,519,INFO,sshd,Found,104.131.231.109,10/2/2020 12:43
"2020-10-02 12:43:33,270",actions,519,NOTICE,sshd,Ban,104.131.231.109,
"2020-10-02 12:43:34,894",filter,519,INFO,sshd,Found,104.131.231.109,10/2/2020 12:43
"2020-10-02 12:44:21,363",filter,519,INFO,sshd,Found,139.213.220.70,10/2/2020 12:44
"2020-10-02 12:44:21,560",actions,519,NOTICE,sshd,Ban,139.213.220.70,
"2020-10-02 12:44:23,090",filter,519,INFO,sshd,Found,139.213.220.70,10/2/2020 12:44
"2020-10-02 12:46:28,283",filter,519,INFO,sshd,Found,192.99.31.119,10/2/2020 12:46
"2020-10-02 12:46:28,285",filter,519,INFO,sshd,Found,192.99.31.119,10/2/2020 12:46
"2020-10-02 12:46:28,384",actions,519,NOTICE,sshd,Ban,192.99.31.119,
"2020-10-02 12:46:30,225",filter,519,INFO,sshd,Found,192.99.31.119,10/2/2020 12:46
"2020-10-02 12:47:14,593",filter,519,INFO,sshd,Found,202.147.192.242,10/2/2020 12:47
"2020-10-02 12:47:14,704",actions,519,NOTICE,sshd,Ban,202.147.192.242,
"2020-10-02 12:47:17,300",filter,519,INFO,sshd,Found,202.147.192.242,10/2/2020 12:47
"2020-10-02 12:48:05,325",filter,519,INFO,sshd,Found,107.182.177.38,10/2/2020 12:48
"2020-10-02 12:48:05,329",filter,519,INFO,sshd,Found,107.182.177.38,10/2/2020 12:48
"2020-10-02 12:48:05,394",actions,519,NOTICE,sshd,Ban,107.182.177.38,
"2020-10-02 12:48:07,387",filter,519,INFO,sshd,Found,107.182.177.38,10/2/2020 12:48
"2020-10-02 12:50:13,955",filter,519,INFO,sshd,Found,89.218.72.51,10/2/2020 12:50
"2020-10-02 12:50:13,956",filter,519,INFO,sshd,Found,89.218.72.51,10/2/2020 12:50
"2020-10-02 12:50:14,196",actions,519,NOTICE,sshd,Ban,89.218.72.51,
